BATHRM,HF_BATHRM,ROOMS,BEDRM,SALEDATE,KITCHENS,FIREPLACES,LANDAREA,ZIPCODE,WARD,PRIME,AC_N,AC_Y,QUADRANT_NE,QUADRANT_NW,QUADRANT_SE,QUADRANT_SW,PRICE,INDEX_BIN
2,0,8,3,2015.0,1.0,0,982,20001.0,6,3.5,0.0,1.0,0.0,1.0,0.0,0.0,1475000.0,58
1,0,7,3,2017.0,1.0,0,874,20001.0,6,4.25,1.0,0.0,0.0,1.0,0.0,0.0,230000.0,9
3,0,5,3,2011.0,1.0,0,1523,20001.0,6,3.25,0.0,1.0,0.0,1.0,0.0,0.0,1360000.0,54
1,0,7,3,2017.0,1.0,0,1510,20001.0,6,4.25,1.0,0.0,0.0,1.0,0.0,0.0,1250000.0,49
2,1,6,3,2007.0,1.0,0,1322,20001.0,6,7.5,1.0,0.0,0.0,1.0,0.0,0.0,1109000.0,44
2,0,7,3,2018.0,1.0,0,1549,20001.0,1,5.125,1.0,0.0,0.0,1.0,0.0,0.0,1000000.0,39
1,0,6,3,2018.0,1.0,0,1635,20001.0,1,5.125,1.0,0.0,0.0,1.0,0.0,0.0,1110000.0,44
2,1,6,3,2007.0,1.0,1,990,20001.0,1,7.5,0.0,1.0,0.0,1.0,0.0,0.0,1475000.0,58
2,1,7,3,2009.0,1.0,0,1900,20001.0,6,3.25,0.0,1.0,0.0,1.0,0.0,0.0,495000.0,19
2,1,5,4,2012.0,1.0,1,1900,20001.0,6,3.25,0.0,1.0,0.0,1.0,0.0,0.0,433000.0,17
1,0,6,3,2015.0,1.0,0,1758,20001.0,6,3.5,1.0,0.0,0.0,1.0,0.0,0.0,380000.0,15
1,1,4,2,2018.0,1.0,2,453,20001.0,6,5.125,0.0,1.0,0.0,1.0,0.0,0.0,1300000.0,51
2,0,6,3,2010.0,1.0,0,623,20001.0,6,3.25,1.0,0.0,0.0,1.0,0.0,0.0,1200000.0,47
2,0,5,3,2017.0,1.0,0,919,20001.0,6,4.25,0.0,1.0,0.0,1.0,0.0,0.0,800000.0,31
3,0,6,3,2012.0,1.0,0,900,20001.0,6,3.25,0.0,1.0,0.0,1.0,0.0,0.0,1080000.0,43
2,1,7,3,2014.0,1.0,0,1900,20001.0,6,3.25,0.0,1.0,0.0,1.0,0.0,0.0,1259000.0,50
2,0,8,4,2001.0,1.0,0,1900,20001.0,6,6.7727272727272725,1.0,0.0,0.0,1.0,0.0,0.0,260000.0,10
1,0,9,4,2005.0,1.0,1,1900,20001.0,6,6.375,1.0,0.0,0.0,1.0,0.0,0.0,1355000.0,54
2,1,8,3,2016.0,1.0,2,1900,20001.0,6,3.75,0.0,1.0,0.0,1.0,0.0,0.0,310000.0,12
2,1,9,4,2013.0,1.0,1,1900,20001.0,6,3.25,0.0,1.0,0.0,1.0,0.0,0.0,1187000.0,47
