index,BATHRM,HF_BATHRM,AC,ROOMS,BEDRM,SALEDATE,KITCHENS,FIREPLACES,LANDAREA,LONGITUDE,LATITUDE,QUADRANT,PRICE,ZIPCODE,WARD
2946,1,0,N,7,3,2001,1,0,1104,-77.01135363,38.9070843,NW,198000,20001,5
2947,3,0,Y,8,4,2001,2,0,1050,-77.01128837,38.90708367,NW,150000,20001,5
2948,2,0,Y,6,5,2017,1,3,990,-77.01122865,38.9070826,NW,750000,20001,5
2949,4,1,Y,8,4,2010,2,0,930,-77.01116605,38.90707837,NW,225000,20001,5
2950,2,0,Y,8,4,2001,2,0,750,-77.0109674,38.90707262,NW,235000,20001,5
2951,2,1,Y,6,3,2014,2,0,751,-77.01091897,38.90706993,NW,567000,20001,5
2952,4,0,Y,12,4,2016,1,0,923,-77.01194964,38.90673706,NW,82351,20001,5
2953,1,1,N,8,3,2010,1,0,1502,-77.01166019,38.90704517,NW,300000,20001,5
2954,3,1,Y,8,4,2015,1,0,1502,-77.01160231,38.90705887,NW,760000,20001,5
2955,3,0,Y,0,0,2000,2,0,1295,-77.01148755,38.9067617,NW,119700,20001,5
2956,1,0,N,10,3,2016,1,0,1456,-77.01154819,38.90674106,NW,244765,20001,5
2957,3,1,Y,9,4,2017,2,0,1616,-77.01161413,38.90672241,NW,840000,20001,5
2958,3,1,Y,7,3,2006,2,3,632,-77.01050945,38.90707672,NW,350000,20001,5
2959,2,1,N,15,7,1999,2,0,2031,-77.01077281,38.90650377,NW,500,20001,6
2960,3,1,Y,9,4,2007,2,2,2031,-77.01070018,38.90649927,NW,650000,20001,6
2961,3,1,Y,15,5,2012,2,0,2031,-77.01063031,38.90651846,NW,624000,20001,6
2962,2,2,Y,7,3,2000,1,2,1308,-77.00419325,38.88216718,SE,336000,20003,6
2963,3,1,Y,9,3,2003,1,0,1750,-77.01132288,38.9109405,NW,347475,20001,5
2964,1,1,Y,5,2,1995,1,1,1151,-77.00973643,38.8726202,SW,107000,20024,6
2965,1,2,Y,5,2,1994,1,1,1151,-77.00973757,38.87252318,SW,125900,20024,6
2966,1,1,Y,5,2,2000,1,1,1151,-77.00972061,38.87237527,SW,124000,20024,6
2967,1,1,Y,5,2,2014,1,1,1151,-77.0097372,38.87232599,SW,188430,20024,6
2968,1,1,Y,5,2,2004,1,1,1151,-77.00973731,38.8722768,SW,175000,20024,6
2969,1,1,Y,6,3,2011,1,1,1234,-77.00973199,38.87217114,SW,222000,20024,6
2970,2,2,Y,8,3,2017,1,0,883,-77.00950183,38.87279066,SW,650000,20024,6
2971,2,1,Y,8,3,2005,2,2,866,-77.00944122,38.87279094,SW,450000,20024,6
2972,2,2,Y,4,3,2004,1,2,866,-77.00937818,38.87279112,SW,400000,20024,6
2973,1,1,Y,5,2,1992,1,1,1151,-77.00935811,38.87263456,SW,100711,20003,6
2974,1,1,Y,6,2,2004,1,1,1151,-77.00935844,38.87249799,SW,170000,20003,6
2975,1,1,N,4,2,1998,1,1,1151,-77.00935843,38.8724479,SW,93000,20003,6
2976,2,1,Y,4,2,2015,1,1,1151,-77.00935843,38.87240376,SW,634000,20003,6
2977,2,1,Y,6,4,2002,1,2,883,-77.00932417,38.87220378,SW,158000,20024,6
2978,2,1,Y,6,4,2016,2,2,866,-77.00938571,38.87220386,SW,617500,20024,6
2979,2,1,Y,6,4,2001,1,0,883,-77.00950314,38.87220413,SW,174000,20024,6
2980,2,0,N,6,2,2017,2,0,1384,-77.01090319,38.87091868,SW,575000,20024,6
2981,2,0,N,6,2,2017,2,0,1384,-77.01096,38.8709185,SW,575000,20024,6
2982,2,0,N,6,2,2017,2,0,1384,-77.01101807,38.87091831,SW,575000,20024,6
2983,2,0,N,6,2,2018,2,0,1384,-77.01107419,38.87091822,SW,775000,20024,6
2984,2,0,N,6,2,2017,2,0,1384,-77.01113112,38.87091803,SW,575000,20024,6
2985,2,0,N,6,2,2017,2,0,1384,-77.01118828,38.87091794,SW,575000,20024,6
2986,2,0,Y,8,4,2005,1,0,1530,-77.01486584,38.91051987,NW,538636,20001,5
2987,2,1,N,5,2,1998,1,0,1307,-77.00615182,38.88430046,SE,200000,20003,6
2988,2,0,N,6,3,1999,1,0,1133,-77.00615182,38.88426326,SE,145000,20003,6
2989,2,0,Y,10,3,2010,1,3,1061,-77.00613429,38.88413813,SE,800000,20003,6
2990,4,0,Y,7,5,1996,2,3,1900,-77.00532751,38.88588931,SE,280000,20003,6
2991,4,1,Y,12,5,2001,2,2,2271,-77.00512867,38.88563537,SE,649000,20003,6
2992,4,0,Y,8,4,1996,1,1,2271,-77.00491753,38.8858932,SE,420000,20003,6
2993,2,2,Y,9,4,2002,2,2,2749,-77.00430804,38.88587611,SE,522879,20003,6
2994,3,1,Y,9,4,2009,2,4,1748,-77.00374254,38.88520834,SE,1000000,20003,6
2995,3,1,Y,11,5,1999,1,1,807,-77.00385354,38.88522779,SE,280000,20003,6
2996,3,0,Y,8,3,2013,1,1,1017,-77.00397698,38.88522779,SE,775000,20003,6
2997,1,1,N,7,3,1996,1,0,1155,-77.00402769,38.88522779,SE,168000,20003,6
2998,2,0,Y,5,3,2010,1,1,1295,-77.0040942,38.88522778,SE,862000,20003,6
2999,2,1,Y,6,2,1995,2,3,2032,-77.00430639,38.88523021,SE,291500,20003,6
3000,3,1,Y,7,4,2014,2,2,2032,-77.00436978,38.88523021,SE,1325000,20003,6
3001,2,1,Y,7,3,2002,1,2,2091,-77.00442994,38.88522777,SE,111000,20003,6
3002,2,2,Y,7,3,2000,1,3,2091,-77.00449322,38.88522777,SE,410000,20003,6
3003,3,1,N,8,4,2015,1,3,4063,-77.0043999,38.88587611,SE,1950000,20003,6
3004,3,1,Y,11,5,1997,2,1,2749,-77.00456295,38.88522777,SE,360000,20003,6
3005,4,1,Y,10,4,2012,2,0,1651,-77.00462946,38.88522776,SE,1165000,20003,6
3006,1,0,Y,4,1,2003,1,1,875,-77.00469966,38.88548855,SE,95000,20003,6
3007,1,2,Y,5,2,2014,1,0,1373,-77.01354814,38.9102241,NW,630000,20001,5
3008,2,1,Y,6,4,2014,1,2,932,-77.00074642,38.89715863,NE,960000,20002,6
3009,1,2,Y,6,3,2018,1,1,1350,-77.0017924,38.8952084,NE,860000,20002,6
3010,1,1,N,6,2,2016,1,1,1323,-77.00181131,38.89529983,NE,805000,20002,6
3011,2,0,Y,6,3,2004,1,2,1323,-77.00180808,38.89534893,NE,625000,20002,6
3012,1,1,Y,6,2,2009,1,1,1332,-77.0018105,38.89539136,NE,655000,20002,6
3013,3,1,Y,10,3,2016,1,1,1323,-77.00178803,38.89556837,NE,1020000,20002,6
3014,1,1,Y,8,2,2008,2,0,1323,-77.00180682,38.89561495,NE,690000,20002,6
3015,1,1,Y,7,2,1995,1,0,1323,-77.0018082,38.89566161,NE,197000,20002,6
3016,1,1,Y,7,3,2011,1,2,1336,-77.00178769,38.8957525,NE,659429,20002,6
3017,2,1,Y,7,3,2014,1,0,1182,-77.00179864,38.89579764,NE,795000,20002,6
3018,5,1,Y,9,5,2005,2,0,1312,-77.00185201,38.89593375,NE,655000,20002,6
3019,1,1,Y,8,3,2014,1,1,1065,-77.00172141,38.89594033,NE,800000,20002,6
3020,3,1,Y,5,2,2015,1,1,1065,-77.0016625,38.89593511,NE,808000,20002,6
3021,3,1,Y,8,4,2009,2,3,1900,-77.0012263,38.89592754,NE,929000,20002,6
3022,2,0,Y,7,3,2005,2,4,1900,-77.00116255,38.89597232,NE,65000,20002,6
3023,3,1,Y,6,3,2006,1,1,2000,-77.00109097,38.89593727,NE,845000,20002,6
3024,3,1,Y,8,4,2015,2,3,1615,-77.00080162,38.89590386,NE,1250000,20002,6
3025,3,1,Y,9,4,2011,1,2,1615,-77.0008007,38.89585035,NE,825000,20002,6
3026,3,1,Y,9,4,2011,1,1,1615,-77.00080197,38.89579936,NE,542000,20002,6
3027,2,1,Y,7,3,2005,1,0,1615,-77.00080185,38.89574711,NE,520250,20002,6
3028,3,1,Y,6,3,2007,1,1,1615,-77.000806,38.89569432,NE,831277,20002,6
3029,3,1,Y,8,4,2011,1,0,747,-77.00107377,38.87911025,SE,860825,20003,6
3030,3,1,Y,8,4,2011,1,0,747,-77.00101107,38.87911197,SE,916160,20003,6
3031,3,1,Y,8,3,2011,1,0,664,-77.00095253,38.87911025,SE,757490,20003,6
3032,2,0,Y,7,4,2012,1,0,766,-77.00088937,38.87911602,SE,249000,20003,6
3033,3,0,Y,6,3,2014,1,0,528,-77.00079383,38.87904458,SE,725000,20003,6
3034,3,1,Y,7,3,2011,1,0,656,-77.00079383,38.87900396,SE,743780,20003,6
3035,3,1,Y,10,4,2007,2,1,1308,-77.00442111,38.88213348,SE,875000,20003,6
3036,3,1,Y,7,3,2009,2,1,1308,-77.0044807,38.8821742,SE,849000,20003,6
3037,3,0,N,9,4,2000,2,0,1308,-77.00477263,38.88216707,SE,285000,20003,6
3038,3,1,Y,10,5,2011,2,0,1308,-77.00483106,38.88216698,SE,1050000,20003,6
3039,2,2,Y,9,4,2010,1,1,1308,-77.00488973,38.88216652,SE,949000,20003,6
3040,3,1,Y,11,4,2018,2,2,1308,-77.00500394,38.88212841,SE,1225000,20003,6
3041,3,1,Y,9,5,2011,2,2,1308,-77.00506192,38.88216859,SE,1076000,20003,6
3042,3,1,Y,10,4,2001,2,1,1308,-77.00517705,38.88216723,SE,245603,20003,6
3043,3,1,N,9,4,1993,2,2,1308,-77.00535408,38.88216713,SE,272500,20003,6
3044,3,1,Y,8,4,2012,2,2,1308,-77.00541056,38.88216713,SE,985000,20003,6
3045,3,0,Y,8,3,2016,1,0,870,-77.00562113,38.88216856,SE,930000,20003,6
3046,1,1,N,6,3,1995,1,0,945,-77.00560903,38.88220829,SE,175000,20003,6
3047,3,1,Y,10,4,2010,2,2,945,-77.00560281,38.88224964,SE,600000,20003,6
3048,2,2,Y,10,3,1997,2,2,945,-77.00561007,38.88229216,SE,225000,20003,6
3049,1,1,N,6,3,2018,1,0,945,-77.00560984,38.88233324,SE,785000,20003,6
3050,2,2,N,6,3,2004,1,1,1095,-77.0056057,38.88237386,SE,600000,20003,6
3051,2,1,Y,6,3,2015,1,2,1095,-77.00560432,38.88241503,SE,875000,20003,6
3052,2,1,Y,6,3,2017,1,0,1122,-77.00558473,38.88250151,SE,1275000,20003,6
3053,1,1,Y,6,3,2015,1,1,891,-77.00525579,38.8824518,SE,730000,20003,6
3054,2,1,Y,7,4,1999,1,1,862,-77.00181038,38.89977663,NE,212000,20002,6
3055,2,1,Y,6,3,2001,1,1,978,-77.00117195,38.89965331,NE,230000,20002,6
3056,2,0,Y,8,4,2014,2,2,1485,-77.01487027,38.91074643,NW,715000,20001,5
3057,2,1,Y,8,4,2016,1,0,1485,-77.01487916,38.9108375,NW,674900,20001,5
3058,2,0,Y,10,4,2011,2,0,1530,-77.01485151,38.91092777,NW,438000,20001,5
3059,2,0,N,10,4,2000,2,0,1663,-77.01452578,38.91089285,NW,80000,20001,5
3060,2,0,Y,8,5,2015,2,0,1561,-77.01446594,38.91090268,NW,550000,20001,5
3061,2,1,Y,8,3,2012,1,1,1561,-77.01435134,38.91090936,NW,515000,20001,5
3062,2,1,Y,6,3,2012,1,0,1561,-77.01429346,38.91091811,NW,582500,20001,5
3063,2,1,Y,7,4,2012,1,1,1561,-77.01423512,38.91091811,NW,585000,20001,5
3064,3,0,Y,8,3,2009,1,0,1561,-77.01417735,38.91091371,NW,410000,20001,5
3065,1,1,Y,6,3,2004,1,1,1561,-77.01412005,38.91091353,NW,350000,20001,5
3066,2,0,Y,8,4,2013,2,0,1561,-77.01394444,38.91090211,NW,562500,20001,5
3067,1,0,Y,10,7,2003,2,0,1663,-77.01370981,38.91090295,NW,295000,20001,5
3068,1,1,Y,8,4,2006,1,0,1716,-77.01353087,38.9109227,NW,400000,20001,5
3069,1,1,Y,6,3,2013,1,1,1716,-77.01346653,38.91092712,NW,356000,20001,5
3070,2,1,Y,8,3,2017,1,0,1604,-77.01371135,38.91054118,NW,778000,20001,5
3071,2,1,Y,8,4,1999,1,1,1603,-77.01383507,38.9105227,NW,74600,20001,5
3072,1,1,Y,8,3,2017,1,0,1603,-77.01389664,38.91052728,NW,284335,20001,5
3073,2,1,Y,8,4,2014,1,1,1603,-77.01396028,38.91052304,NW,670000,20001,5
3074,1,1,Y,7,4,2017,1,1,1603,-77.01408699,38.91052303,NW,630000,20001,5
3075,3,1,Y,7,3,2009,1,1,1360,-77.01712373,38.91291226,NW,290000,20001,5
3076,3,1,N,7,3,2002,2,0,1360,-77.01714081,38.9129564,NW,177000,20001,5
3077,1,0,Y,6,3,2009,1,0,1373,-77.013226,38.91022378,NW,318000,20001,5
3078,1,1,Y,6,3,2004,1,0,1373,-77.01317181,38.91022397,NW,335000,20001,5
3079,2,1,Y,6,3,2018,1,0,1373,-77.01306377,38.91021686,NW,735000,20001,5
3080,2,0,Y,10,5,2006,2,0,1805,-77.01300479,38.90982762,NW,532500,20001,5
3081,2,0,Y,8,4,2016,2,0,1710,-77.01293695,38.91022183,NW,535000,20001,5
